"","formula","elpd_diff","se_diff"
"cod_HSI2","HSI.dry_stnd ~ s(length, k = 4) + s(fit.temp.mu, k = 4) + s(fourth.root.cpue, k = 4) + bay_fac",0,0
"cod_HSI1","HSI.dry_stnd ~ s(length, k = 4) + s(fit.temp.mu, k = 4) + s(fourth.root.cpue, k = 4)",-27.9922643757132,7.9888285666632
"cod_HSI0","HSI.dry_stnd ~ s(length, k = 4) + s(fit.temp.mu, k = 4)",-35.1228787684368,9.76623789163783
